START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
05/20/15,07:10 PM,07:10 PM,Rangers at Red Sox,Fenway Park,"Local TV: ESPN -- NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/20/15,05/20/15,10:10 PM,10:10 PM,FALSE,TRUE,05/20/15,06:10 PM,06:10 PM,FREE,BUSY
05/21/15,07:10 PM,07:10 PM,Rangers at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/21/15,05/21/15,10:10 PM,10:10 PM,FALSE,TRUE,05/21/15,06:10 PM,06:10 PM,FREE,BUSY
05/22/15,07:10 PM,07:10 PM,Angels at Red Sox,Fenway Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/22/15,05/22/15,10:10 PM,10:10 PM,FALSE,TRUE,05/22/15,06:10 PM,06:10 PM,FREE,BUSY
05/23/15,07:15 PM,07:15 PM,Angels at Red Sox,Fenway Park,"Local TV: FOX ----- Local Radio: WEEI 93.7 -- SBN 1150",05/23/15,05/23/15,10:15 PM,10:15 PM,FALSE,TRUE,05/23/15,06:15 PM,06:15 PM,FREE,BUSY
05/24/15,01:35 PM,01:35 PM,Angels at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/24/15,05/24/15,04:35 PM,04:35 PM,FALSE,TRUE,05/24/15,12:35 PM,12:35 PM,FREE,BUSY
06/01/15,07:10 PM,07:10 PM,Twins at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/01/15,06/01/15,10:10 PM,10:10 PM,FALSE,TRUE,06/01/15,06:10 PM,06:10 PM,FREE,BUSY
06/02/15,07:10 PM,07:10 PM,Twins at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/02/15,06/02/15,10:10 PM,10:10 PM,FALSE,TRUE,06/02/15,06:10 PM,06:10 PM,FREE,BUSY
06/03/15,07:10 PM,07:10 PM,Twins at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/03/15,06/03/15,10:10 PM,10:10 PM,FALSE,TRUE,06/03/15,06:10 PM,06:10 PM,FREE,BUSY
06/04/15,04:05 PM,04:05 PM,Twins at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/04/15,06/04/15,07:05 PM,07:05 PM,FALSE,TRUE,06/04/15,03:05 PM,03:05 PM,FREE,BUSY
06/05/15,07:10 PM,07:10 PM,Athletics at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/05/15,06/05/15,10:10 PM,10:10 PM,FALSE,TRUE,06/05/15,06:10 PM,06:10 PM,FREE,BUSY
06/06/15,04:05 PM,04:05 PM,Athletics at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/06/15,06/06/15,07:05 PM,07:05 PM,FALSE,TRUE,06/06/15,03:05 PM,03:05 PM,FREE,BUSY
06/07/15,01:35 PM,01:35 PM,Athletics at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/07/15,06/07/15,04:35 PM,04:35 PM,FALSE,TRUE,06/07/15,12:35 PM,12:35 PM,FREE,BUSY
06/12/15,07:10 PM,07:10 PM,Blue Jays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/12/15,06/12/15,10:10 PM,10:10 PM,FALSE,TRUE,06/12/15,06:10 PM,06:10 PM,FREE,BUSY
06/13/15,01:35 PM,01:35 PM,Blue Jays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/13/15,06/13/15,04:35 PM,04:35 PM,FALSE,TRUE,06/13/15,12:35 PM,12:35 PM,FREE,BUSY
06/14/15,01:35 PM,01:35 PM,Blue Jays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/14/15,06/14/15,04:35 PM,04:35 PM,FALSE,TRUE,06/14/15,12:35 PM,12:35 PM,FREE,BUSY
06/15/15,07:10 PM,07:10 PM,Braves at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/15/15,06/15/15,10:10 PM,10:10 PM,FALSE,TRUE,06/15/15,06:10 PM,06:10 PM,FREE,BUSY
06/16/15,04:05 PM,04:05 PM,Braves at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/16/15,06/16/15,07:05 PM,07:05 PM,FALSE,TRUE,06/16/15,03:05 PM,03:05 PM,FREE,BUSY
06/23/15,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/23/15,06/23/15,10:10 PM,10:10 PM,FALSE,TRUE,06/23/15,06:10 PM,06:10 PM,FREE,BUSY
06/24/15,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/24/15,06/24/15,10:10 PM,10:10 PM,FALSE,TRUE,06/24/15,06:10 PM,06:10 PM,FREE,BUSY
06/25/15,01:35 PM,01:35 PM,Orioles at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",06/25/15,06/25/15,04:35 PM,04:35 PM,FALSE,TRUE,06/25/15,12:35 PM,12:35 PM,FREE,BUSY
07/03/15,07:10 PM,07:10 PM,Astros at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/03/15,07/03/15,10:10 PM,10:10 PM,FALSE,TRUE,07/03/15,06:10 PM,06:10 PM,FREE,BUSY
07/04/15,01:35 PM,01:35 PM,Astros at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/04/15,07/04/15,04:35 PM,04:35 PM,FALSE,TRUE,07/04/15,12:35 PM,12:35 PM,FREE,BUSY
07/05/15,01:35 PM,01:35 PM,Astros at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/05/15,07/05/15,04:35 PM,04:35 PM,FALSE,TRUE,07/05/15,12:35 PM,12:35 PM,FREE,BUSY
07/07/15,07:10 PM,07:10 PM,Marlins at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/07/15,07/07/15,10:10 PM,10:10 PM,FALSE,TRUE,07/07/15,06:10 PM,06:10 PM,FREE,BUSY
07/08/15,07:10 PM,07:10 PM,Marlins at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/08/15,07/08/15,10:10 PM,10:10 PM,FALSE,TRUE,07/08/15,06:10 PM,06:10 PM,FREE,BUSY
07/10/15,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/10/15,07/10/15,10:10 PM,10:10 PM,FALSE,TRUE,07/10/15,06:10 PM,06:10 PM,FREE,BUSY
07/11/15,07:15 PM,07:15 PM,Yankees at Red Sox,Fenway Park,"Local TV: FOX ----- Local Radio: WEEI 93.7 -- SBN 1150",07/11/15,07/11/15,10:15 PM,10:15 PM,FALSE,TRUE,07/11/15,06:15 PM,06:15 PM,FREE,BUSY
07/12/15,01:35 PM,01:35 PM,Yankees at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/12/15,07/12/15,04:35 PM,04:35 PM,FALSE,TRUE,07/12/15,12:35 PM,12:35 PM,FREE,BUSY
07/14/15,03:33 AM,03:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,,07/14/15,07/14/15,06:33 AM,06:33 AM,FALSE,TRUE,07/14/15,02:33 AM,02:33 AM,FREE,BUSY
07/24/15,07:10 PM,07:10 PM,Tigers at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/24/15,07/24/15,10:10 PM,10:10 PM,FALSE,TRUE,07/24/15,06:10 PM,06:10 PM,FREE,BUSY
07/25/15,04:05 PM,04:05 PM,Tigers at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/25/15,07/25/15,07:05 PM,07:05 PM,FALSE,TRUE,07/25/15,03:05 PM,03:05 PM,FREE,BUSY
07/26/15,01:35 PM,01:35 PM,Tigers at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/26/15,07/26/15,04:35 PM,04:35 PM,FALSE,TRUE,07/26/15,12:35 PM,12:35 PM,FREE,BUSY
07/27/15,07:10 PM,07:10 PM,White Sox at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/27/15,07/27/15,10:10 PM,10:10 PM,FALSE,TRUE,07/27/15,06:10 PM,06:10 PM,FREE,BUSY
07/28/15,07:10 PM,07:10 PM,White Sox at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/28/15,07/28/15,10:10 PM,10:10 PM,FALSE,TRUE,07/28/15,06:10 PM,06:10 PM,FREE,BUSY
07/29/15,07:10 PM,07:10 PM,White Sox at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/29/15,07/29/15,10:10 PM,10:10 PM,FALSE,TRUE,07/29/15,06:10 PM,06:10 PM,FREE,BUSY
07/30/15,07:10 PM,07:10 PM,White Sox at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/30/15,07/30/15,10:10 PM,10:10 PM,FALSE,TRUE,07/30/15,06:10 PM,06:10 PM,FREE,BUSY
07/31/15,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",07/31/15,07/31/15,10:10 PM,10:10 PM,FALSE,TRUE,07/31/15,06:10 PM,06:10 PM,FREE,BUSY
08/01/15,01:35 PM,01:35 PM,Rays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/01/15,08/01/15,04:35 PM,04:35 PM,FALSE,TRUE,08/01/15,12:35 PM,12:35 PM,FREE,BUSY
08/02/15,01:35 PM,01:35 PM,Rays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/02/15,08/02/15,04:35 PM,04:35 PM,FALSE,TRUE,08/02/15,12:35 PM,12:35 PM,FREE,BUSY
08/14/15,07:10 PM,07:10 PM,Mariners at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/14/15,08/14/15,10:10 PM,10:10 PM,FALSE,TRUE,08/14/15,06:10 PM,06:10 PM,FREE,BUSY
08/15/15,01:35 PM,01:35 PM,Mariners at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/15/15,08/15/15,04:35 PM,04:35 PM,FALSE,TRUE,08/15/15,12:35 PM,12:35 PM,FREE,BUSY
08/16/15,01:35 PM,01:35 PM,Mariners at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/16/15,08/16/15,04:35 PM,04:35 PM,FALSE,TRUE,08/16/15,12:35 PM,12:35 PM,FREE,BUSY
08/17/15,07:10 PM,07:10 PM,Indians at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/17/15,08/17/15,10:10 PM,10:10 PM,FALSE,TRUE,08/17/15,06:10 PM,06:10 PM,FREE,BUSY
08/18/15,07:10 PM,07:10 PM,Indians at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/18/15,08/18/15,10:10 PM,10:10 PM,FALSE,TRUE,08/18/15,06:10 PM,06:10 PM,FREE,BUSY
08/19/15,07:10 PM,07:10 PM,Indians at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/19/15,08/19/15,10:10 PM,10:10 PM,FALSE,TRUE,08/19/15,06:10 PM,06:10 PM,FREE,BUSY
08/20/15,07:10 PM,07:10 PM,Royals at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",08/20/15,08/20/15,10:10 PM,10:10 PM,FALSE,TRUE,08/20/15,06:10 PM,06:10 PM,FREE,BUSY
